gdp,latitude,longitude,population,country,date,fatalities
36833,41.8719,12.5674,60589445,Italy,2014-06,0
36833,41.8719,12.5674,60589445,Italy,2014-06,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-07,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-08,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-09,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-10,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-11,0
36833,41.8719,12.5674,60589445,Italy,2014-12,0
36833,41.8719,12.5674,60589445,Italy,2014-12,0
36833,41.8719,12.5674,60589445,Italy,2014-12,0
36833,41.8719,12.5674,60589445,Italy,2014-12,0
36833,41.8719,12.5674,60589445,Italy,2015-01,0
36833,41.8719,12.5674,60589445,Italy,2015-01,0
36833,41.8719,12.5674,60589445,Italy,2015-01,0
36833,41.8719,12.5674,60589445,Italy,2015-01,0
36833,41.8719,12.5674,60589445,Italy,2015-02,0
36833,41.8719,12.5674,60589445,Italy,2015-02,0
36833,41.8719,12.5674,60589445,Italy,2015-02,0
36833,41.8719,12.5674,60589445,Italy,2015-02,0
36833,41.8719,12.5674,60589445,Italy,2015-03,0
36833,41.8719,12.5674,60589445,Italy,2015-03,0
36833,41.8719,12.5674,60589445,Italy,2015-03,0
36833,41.8719,12.5674,60589445,Italy,2015-03,0
36833,41.8719,12.5674,60589445,Italy,2015-03,0
36833,41.8719,12.5674,60589445,Italy,2015-04,0
36833,41.8719,12.5674,60589445,Italy,2015-04,0
36833,41.8719,12.5674,60589445,Italy,2015-04,0
36833,41.8719,12.5674,60589445,Italy,2015-04,0
36833,41.8719,12.5674,60589445,Italy,2015-05,0
